CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,'Type de roche'
'\'(48.59-49.84]\'','\'(0.255-0.335]\'','\'(20.36-20.77]\'','\'(27.83-28.475]\'','\'(298.5-435]\'','\'(2.5-3.5]\'','\'(6.5-7.5]\'','\'(1.5-2.5]\'',C1
'\'(48.59-49.84]\'','\'(0.085-0.145]\'','\'(19.8-20.36]\'','\'(28.475-29.205]\'','\'(435-790.5]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(5.5-13]\'',C1
'\'(48.59-49.84]\'','\'(0.335-0.55]\'','\'(20.36-20.77]\'','\'(27.83-28.475]\'','\'(208-298.5]\'','\'(15-36.5]\'','\'(37.5-inf)\'','\'(5.5-13]\'',C1
'\'(48.59-49.84]\'','\'(0.085-0.145]\'','\'(20.36-20.77]\'','\'(27.83-28.475]\'','\'(91-162]\'','\'(5.5-8]\'','\'(12.5-37.5]\'','\'(1.5-2.5]\'',C1
'\'(47.5-48.59]\'','\'(0.255-0.335]\'','\'(19.46-19.8]\'','\'(28.475-29.205]\'','\'(208-298.5]\'','\'(15-36.5]\'','\'(12.5-37.5]\'','\'(0.5-1.5]\'',C1
'\'(47.5-48.59]\'','\'(0.085-0.145]\'','\'(19.8-20.36]\'','\'(27.83-28.475]\'','\'(208-298.5]\'','\'(8-15]\'','\'(7.5-12.5]\'','\'(1.5-2.5]\'',C1
'\'(47.5-48.59]\'','\'(-inf-0.065]\'','\'(19.8-20.36]\'','\'(27.83-28.475]\'','\'(162-208]\'','\'(2.5-3.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(47.5-48.59]\'','\'(0.335-0.55]\'','\'(19.8-20.36]\'','\'(27.83-28.475]\'','\'(435-790.5]\'','\'(4.5-5.5]\'','\'(-inf-5.5]\'','\'(2.5-3.5]\'',C1
'\'(47.5-48.59]\'','\'(0.085-0.145]\'','\'(19.8-20.36]\'','\'(27.83-28.475]\'','\'(-inf-91]\'','\'(2.5-3.5]\'','\'(-inf-5.5]\'','\'(0.5-1.5]\'',C1
'\'(47.5-48.59]\'','\'(0.195-0.255]\'','\'(19.8-20.36]\'','\'(27.83-28.475]\'','\'(790.5-1247.5]\'','\'(36.5-117]\'','\'(-inf-5.5]\'','\'(0.5-1.5]\'',C1
'\'(47.5-48.59]\'','\'(0.085-0.145]\'','\'(19.8-20.36]\'','\'(27.83-28.475]\'','\'(162-208]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(0.5-1.5]\'',C1
'\'(47.5-48.59]\'','\'(0.145-0.195]\'','\'(9.07-17.21]\'','\'(30.15-inf)\'','\'(435-790.5]\'','\'(117-inf)\'','\'(12.5-37.5]\'','\'(2.5-3.5]\'',C1
